,equity
0,0.0
1,370.0
2,452.5
3,885.0
4,992.5
5,1200.0
6,1682.5
7,2015.0
8,2647.5
9,3442.5
10,3850.0
11,3945.0
12,3877.5
13,4122.5
14,4667.5
15,5162.5
16,5420.0
17,5502.5
18,5835.0
19,6080.0
20,6487.5
21,7070.0
22,7315.0
23,7222.5
24,7480.0
25,7562.5
26,7695.0
27,7852.5
28,7897.5
29,7842.5
30,7975.0
31,8457.5
32,8827.5
33,9435.0
34,9792.5
35,10000.0
36,10320.0
37,10752.5
38,11022.5
39,11055.0
40,11600.0
41,12182.5
42,12377.5
43,12385.0
44,12505.0
45,12512.5
46,12770.0
47,12677.5
48,12810.0
49,12992.5
50,13300.0
51,13795.0
52,13965.0
53,14372.5
54,14842.5
55,15175.0
56,14957.5
57,15177.5
58,15422.5
59,15692.5
60,15825.0
61,15982.5
62,16627.5
63,17022.5
64,16567.5
65,16762.5
66,16232.5
67,16152.5
68,16247.5
69,16005.0
70,16775.0
71,17520.0
72,17890.0
73,18222.5
74,18392.5
75,18612.5
76,18982.5
77,20040.0
78,20460.0
79,20855.0
80,20987.5
81,21370.0
82,21790.0
83,21885.0
84,22155.0
85,22162.5
86,22032.5
87,22515.0
88,22635.0
89,23242.5
90,23787.5
91,24070.0
92,24490.0
93,25160.0
94,25355.0
95,25500.0
96,26057.5
97,26552.5
98,26797.5
99,26842.5
100,27287.5
101,27357.5
102,27402.5
103,27485.0
104,27642.5
105,27625.0
106,28082.5
107,28465.0
108,29097.5
109,29580.0
110,29200.0
111,29320.0
112,29902.5
113,30572.5
114,30642.5
115,30500.0
116,30857.5
117,30927.5
118,30897.5
119,31292.5
120,31587.5
121,31782.5
122,32365.0
123,33235.0
124,33492.5
125,33812.5
126,34295.0
127,34652.5
128,34985.0
129,34892.5
130,35000.0
131,35157.5
132,35302.5
133,35272.5
134,35467.5
135,36000.0
136,36220.0
137,36215.0
138,36597.5
139,36830.0
140,36912.5
141,36895.0
142,37065.0
143,37722.5
144,38067.5
145,38412.5
146,38295.0
147,38640.0
148,39160.0
149,39217.5
150,39275.0
151,39482.5
152,39665.0
153,39560.0
154,39830.0
155,39937.5
156,40220.0
157,40240.0
158,40460.0
159,40692.5
160,40975.0
161,40957.5
162,41640.0
163,41947.5
164,42192.5
165,42575.0
166,42557.5
167,43127.5
168,43360.0
169,43517.5
170,44012.5
171,44107.5
172,44477.5
173,45122.5
174,45267.5
175,45750.0
176,45820.0
177,46315.0
178,46310.0
179,44830.0
180,44987.5
181,45620.0
182,45665.0
183,45772.5
184,45842.5
185,45987.5
186,46445.0
187,46552.5
188,46647.5
189,46705.0
190,47087.5
191,47632.5
192,48340.0
193,48497.5
194,48530.0
195,48637.5
196,48482.5
197,49027.5
198,49122.5
199,49755.0
200,49975.0
201,49832.5
202,50415.0
203,50472.5
204,50367.5
205,50800.0
206,50957.5
207,51615.0
208,51335.0
209,52042.5
210,52600.0
211,53170.0
212,53127.5
213,53235.0
214,53405.0
215,53575.0
216,53882.5
217,54315.0
218,54610.0
219,54580.0
220,54787.5
221,54695.0
222,55152.5
223,55085.0
224,54992.5
225,54887.5
226,55257.5
227,56540.0
228,57322.5
229,57467.5
230,57150.0
231,56857.5
232,57027.5
233,57447.5
234,57692.5
235,57725.0
236,57995.0
237,58040.0
238,58460.0
239,58530.0
240,59125.0
241,59357.5
242,59490.0
243,59885.0
244,60005.0
245,60175.0
246,60457.5
247,60777.5
248,61297.5
249,61417.5
250,61437.5
251,61932.5
252,61877.5
253,61985.0
254,62280.0
255,62437.5
256,62670.0
257,62915.0
258,63447.5
259,64167.5
260,64275.0
261,64295.0
262,64777.5
263,65635.0
264,65680.0
265,66287.5
266,66432.5
267,66727.5
268,67272.5
269,67442.5
270,67800.0
271,67957.5
272,68277.5
273,68385.0
274,68555.0
275,68825.0
276,69145.0
277,69565.0
278,69410.0
279,69405.0
280,69850.0
281,70532.5
282,70652.5
283,71160.0
284,71842.5
285,72237.5
286,72457.5
287,72877.5
288,72822.5
289,73055.0
290,73250.0
291,73520.0
292,73715.0
293,73997.5
294,74292.5
295,74587.5
296,74857.5
297,75077.5
298,75610.0
299,75780.0
300,75975.0
301,76332.5
302,76627.5
303,76972.5
304,77292.5
305,77712.5
306,77995.0
307,78490.0
308,78685.0
309,78805.0
310,79287.5
311,79382.5
312,79552.5
313,79760.0
314,79792.5
315,80075.0
316,80282.5
317,80677.5
318,80885.0
319,81142.5
320,81350.0
321,81420.0
322,81665.0
323,81797.5
324,81842.5
325,82400.0
326,82107.5
327,82627.5
328,82510.0
329,82480.0
330,82600.0
331,82620.0
332,82702.5
333,82547.5
334,82830.0
335,82812.5
336,83045.0
337,83115.0
338,83347.5
339,83442.5
340,83750.0
341,83970.0
342,83965.0
343,84197.5
344,84142.5
345,84312.5
346,84420.0
347,84577.5
348,84685.0
349,84817.5
350,84925.0
351,85232.5
352,85415.0
353,85597.5
354,85717.5
355,85937.5
356,86157.5
357,86352.5
358,86335.0
359,86455.0
360,86562.5
361,86520.0
362,86777.5
363,86897.5
364,86817.5
365,87025.0
366,87320.0
367,87377.5
368,87722.5
369,88005.0
370,87975.0
371,88207.5
372,88752.5
373,88910.0
374,89005.0
375,89412.5
376,89357.5
377,89590.0
378,89710.0
379,89717.5
380,89525.0
381,89695.0
382,89877.5
383,90135.0
384,90767.5
385,90775.0
386,90895.0
387,91115.0
388,91522.5
389,91892.5
390,91875.0
391,91995.0
392,91965.0
393,91985.0
394,92230.0
395,92362.5
396,93282.5
397,93452.5
398,93585.0
399,93705.0
400,93775.0
401,93845.0
402,94090.0
403,94197.5
404,94167.5
405,94287.5
406,94720.0
407,94990.0
408,95122.5
409,95455.0
410,95775.0
411,95820.0
412,96290.0
413,96460.0
414,96730.0
415,96825.0
416,96920.0
417,97127.5
418,97372.5
419,97517.5
420,97675.0
421,97745.0
422,97865.0
423,98035.0
424,98005.0
425,98187.5
426,98282.5
427,98590.0
428,98860.0
429,99167.5
430,99162.5
431,99395.0
432,99390.0
433,99560.0
434,99630.0
435,99800.0
436,99957.5
437,100002.5
438,100197.5
439,100230.0
440,100350.0
441,100370.0
442,100577.5
443,100697.5
444,100805.0
445,100887.5
446,100907.5
447,100940.0
448,100985.0
449,100930.0
450,100887.5
451,101257.5
452,101690.0
453,101747.5
454,101780.0
455,101762.5
456,101970.0
457,101965.0
458,101860.0
459,101842.5
460,101950.0
461,102032.5
462,102015.0
463,102147.5
464,102130.0
465,102475.0
466,102682.5
467,102777.5
468,102760.0
469,102967.5
470,103062.5
471,103207.5
472,103440.0
473,104110.0
474,104330.0
475,104737.5
476,105107.5
477,105152.5
478,105247.5
479,105480.0
480,105575.0
481,105845.0
482,105990.0
483,106047.5
484,106130.0
485,106137.5
486,106120.0
487,106102.5
488,106097.5
489,106117.5
490,106100.0
491,106107.5
492,106152.5
493,106297.5
494,106442.5
495,106462.5
496,106495.0
497,106465.0
498,106497.5
499,106480.0
500,106587.5
501,107032.5
502,107215.0
503,107585.0
504,107680.0
505,107825.0
506,107820.0
507,107877.5
508,107960.0
509,107905.0
510,107975.0
511,107995.0
512,108040.0
513,108285.0
514,108405.0
515,108612.5
516,108857.5
517,109327.5
518,109247.5
519,109292.5
520,109887.5
521,109732.5
522,109977.5
523,110272.5
524,110317.5
525,110400.0
526,110557.5
527,110827.5
528,110822.5
529,111430.0
530,111537.5
531,111495.0
532,111790.0
533,112022.5
534,112255.0
535,112400.0
536,112507.5
537,112540.0
538,112885.0
539,113292.5
540,113650.0
541,113970.0
542,114152.5
543,114197.5
544,114442.5
545,114475.0
546,114495.0
547,114440.0
548,114685.0
549,114755.0
550,114837.5
551,114720.0
552,114827.5
553,115360.0
554,115367.5
555,115575.0
556,115707.5
557,115840.0
558,116072.5
559,116667.5
560,116600.0
561,116682.5
562,116790.0
563,117010.0
564,117242.5
565,117225.0
566,117370.0
567,117602.5
568,117585.0
569,117730.0
570,117850.0
571,117920.0
572,117990.0
573,118122.5
574,118880.0
575,119175.0
576,119845.0
577,119852.5
578,120097.5
579,120380.0
580,120662.5
581,121182.5
582,121565.0
583,121722.5
584,121905.0
585,122062.5
586,122145.0
587,122752.5
588,122772.5
589,122730.0
590,122987.5
591,123007.5
592,123090.0
593,123110.0
594,123442.5
595,123650.0
596,123520.0
597,123827.5
598,123972.5
599,124255.0
600,124612.5
601,124707.5
602,124940.0
603,124935.0
604,125092.5
605,125425.0
606,126045.0
607,126052.5
608,125735.0
609,126255.0
610,126862.5
611,127095.0
612,127090.0
613,127560.0
614,127592.5
615,127787.5
616,127720.0
617,127640.0
618,127935.0
619,128217.5
620,128350.0
621,128295.0
622,128377.5
623,128522.5
624,128542.5
625,128500.0
626,128457.5
627,128465.0
628,128560.0
629,128555.0
630,129100.0
631,129395.0
632,129552.5
633,129672.5
634,129742.5
635,129762.5
636,129807.5
637,130015.0
638,129997.5
639,130192.5
640,130150.0
641,130270.0
642,130377.5
643,130485.0
644,130517.5
645,130550.0
646,130507.5
647,130477.5
648,130460.0
649,130430.0
650,130512.5
651,130607.5
652,130977.5
653,131222.5
654,131430.0
655,131575.0
656,131895.0
657,132177.5
658,132322.5
659,132417.5
660,132700.0
661,133370.0
662,133927.5
663,133922.5
664,133842.5
665,134025.0
666,134157.5
667,134390.0
668,134447.5
669,134667.5
670,135087.5
671,135020.0
672,135627.5
673,135885.0
674,136267.5
675,136300.0
676,136320.0
677,136415.0
678,136660.0
679,136667.5
680,136662.5
681,136720.0
682,137390.0
683,137760.0
684,137930.0
685,138087.5
686,138170.0
687,138702.5
688,138785.0
689,138942.5
690,139362.5
691,139245.0
692,139615.0
693,139610.0
694,139880.0
695,139800.0
696,139820.0
697,140027.5
698,140822.5
699,141005.0
700,141287.5
701,141295.0
702,141852.5
703,142097.5
704,142767.5
705,142987.5
706,143120.0
707,143515.0
708,143560.0
709,143780.0
710,144075.0
711,144107.5
712,144165.0
713,144085.0
714,144080.0
715,144200.0
716,144145.0
717,144352.5
718,144572.5
719,144630.0
720,144775.0
721,145007.5
722,145215.0
723,145447.5
724,145480.0
725,145462.5
726,145307.5
727,145602.5
728,145710.0
729,145917.5
730,145925.0
731,146170.0
732,146177.5
733,146210.0
734,146405.0
735,146500.0
736,146582.5
737,146952.5
738,146985.0
739,147167.5
740,147800.0
741,147932.5
742,148827.5
743,149522.5
744,150067.5
745,150487.5
746,150482.5
747,150540.0
748,150847.5
749,150867.5
750,151087.5
751,151445.0
752,151815.0
753,151985.0
754,152255.0
755,152575.0
756,152945.0
757,153252.5
758,153147.5
759,153180.0
760,153487.5
761,153457.5
762,153665.0
763,153622.5
764,153667.5
765,153737.5
766,153720.0
767,153715.0
768,153735.0
769,153817.5
770,153787.5
771,153732.5
772,154365.0
773,154722.5
774,154980.0
775,155350.0
776,155170.0
777,155465.0
778,155597.5
779,155917.5
780,156062.5
781,156232.5
782,156577.5
783,156597.5
784,156830.0
785,156937.5
786,157082.5
787,157265.0
788,157322.5
789,157567.5
790,157600.0
791,157820.0
792,157927.5
793,158122.5
794,158930.0
795,158850.0
796,158995.0
797,159265.0
798,159810.0
799,160055.0
800,160350.0
801,160970.0
802,160977.5
803,161335.0
804,161405.0
805,161400.0
806,161607.5
807,161890.0
808,162085.0
809,162305.0
810,162450.0
811,162682.5
812,162902.5
813,163047.5
814,163167.5
815,163412.5
816,163470.0
817,163640.0
818,163860.0
819,164205.0
820,164425.0
821,164570.0
822,164490.0
823,164472.5
824,164455.0
825,164575.0
826,164532.5
827,164640.0
828,164847.5
829,164942.5
830,165012.5
831,165032.5
832,165090.0
833,165322.5
834,165392.5
835,165625.0
836,165707.5
837,165852.5
838,166360.0
839,166380.0
840,166525.0
841,166632.5
842,166702.5
843,166960.0
844,167130.0
845,167250.0
846,168257.5
847,168127.5
848,168410.0
849,168805.0
850,168975.0
851,169282.5
852,169315.0
853,169822.5
854,170067.5
855,170025.0
856,170445.0
857,170677.5
858,170697.5
859,171130.0
860,171300.0
861,171582.5
862,171752.5
863,171810.0
864,172217.5
865,172300.0
866,172320.0
867,172377.5
868,172560.0
869,172630.0
870,172737.5
871,172870.0
872,172852.5
873,172910.0
874,173117.5
875,173137.5
876,173220.0
877,173340.0
878,173335.0
879,173467.5
880,173587.5
881,173595.0
882,173565.0
883,173922.5
884,173842.5
885,174050.0
886,174132.5
887,174527.5
888,174535.0
889,174755.0
890,174750.0
891,175007.5
892,175165.0
893,175297.5
894,175230.0
895,175375.0
896,175570.0
897,175652.5
898,176810.0
899,176892.5
900,177075.0
901,177345.0
902,177915.0
903,178122.5
904,178242.5
905,178912.5
906,179045.0
907,179415.0
908,180085.0
909,180430.0
910,180437.5
911,180557.5
912,181190.0
913,181322.5
914,181567.5
915,181850.0
916,182082.5
917,182590.0
918,183472.5
919,183530.0
920,184012.5
921,184282.5
922,184477.5
923,184785.0
924,184667.5
925,184887.5
926,185032.5
927,185327.5
928,185435.0
929,185505.0
930,186012.5
931,186270.0
932,186290.0
933,186560.0
934,186905.0
935,186950.0
936,187245.0
937,187352.5
938,187347.5
939,187355.0
940,187475.0
941,188020.0
942,188052.5
943,188322.5
944,188392.5
945,188450.0
946,188545.0
947,188727.5
948,188597.5
949,188830.0
950,188987.5
951,189157.5
952,189377.5
953,189472.5
954,189417.5
955,189550.0
956,189632.5
957,189727.5
958,189885.0
959,189980.0
960,190187.5
961,190345.0
962,190377.5
963,190410.0
964,190580.0
965,190625.0
966,190632.5
967,190677.5
968,190660.0
969,190792.5
970,190800.0
971,190832.5
972,190902.5
973,191147.5
974,191292.5
975,191537.5
976,191670.0
977,191852.5
978,192035.0
979,192142.5
980,192500.0
981,192845.0
982,193465.0
983,193422.5
984,193780.0
985,193912.5
986,194182.5
987,194240.0
988,194335.0
989,194742.5
990,194762.5
991,194795.0
992,195302.5
993,195685.0
994,196205.0
995,196325.0
996,196332.5
997,196815.0
998,197085.0
999,197180.0
1000,197500.0
1001,198095.0
1002,198102.5
1003,198410.0
1004,198667.5
1005,198912.5
1006,199045.0
1007,199277.5
1008,199297.5
1009,199455.0
1010,199412.5
1011,199232.5
1012,199302.5
1013,199097.5
1014,199267.5
1015,199337.5
1016,199632.5
1017,199727.5
1018,199835.0
1019,199917.5
1020,199887.5
1021,200270.0
1022,200365.0
1023,200335.0
1024,200355.0
1025,200425.0
1026,200407.5
1027,200402.5
1028,200422.5
1029,200417.5
1030,200450.0
1031,200445.0
1032,201165.0
1033,201297.5
1034,201405.0
1035,201712.5
1036,201695.0
1037,201940.0
1038,202272.5
1039,201930.0
1040,202350.0
1041,202670.0
1042,202690.0
1043,202760.0
1044,202955.0
1045,202975.0
1046,203320.0
1047,203490.0
1048,203860.0
1049,203817.5
1050,203850.0
1051,203995.0
1052,204902.5
1053,204985.0
1054,205242.5
1055,205725.0
1056,205757.5
1057,205765.0
1058,205810.0
1059,206080.0
1060,206412.5
1061,206470.0
1062,206627.5
1063,206872.5
1064,206967.5
1065,207050.0
1066,207145.0
1067,207177.5
1068,207135.0
1069,207355.0
1070,207600.0
1071,207932.5
1072,208440.0
1073,208822.5
1074,208967.5
1075,209062.5
1076,208957.5
1077,208990.0
1078,209197.5
1079,209317.5
1080,209387.5
1081,209370.0
1082,209415.0
1083,209635.0
1084,209692.5
1085,209775.0
1086,209820.0
1087,210252.5
1088,210347.5
1089,210442.5
1090,210675.0
1091,210732.5
1092,210827.5
1093,210847.5
1094,210842.5
1095,210825.0
1096,210907.5
1097,210977.5
1098,211122.5
1099,211267.5
1100,211475.0
1101,211620.0
1102,211652.5
1103,211785.0
1104,211867.5
1105,212050.0
1106,212232.5
1107,212402.5
1108,212560.0
1109,212617.5
1110,212950.0
1111,213157.5
1112,213315.0
1113,214160.0
1114,214117.5
1115,214250.0
1116,214432.5
1117,214402.5
1118,214460.0
1119,214592.5
1120,214437.5
1121,214570.0
1122,214802.5
1123,214997.5
1124,215242.5
1125,215700.0
1126,215932.5
1127,216127.5
1128,216385.0
1129,216617.5
1130,216750.0
1131,216957.5
1132,217002.5
1133,216997.5
1134,217092.5
1135,217175.0
1136,217320.0
1137,217365.0
1138,217422.5
1139,217492.5
1140,217562.5
1141,217532.5
1142,217565.0
1143,217647.5
1144,217492.5
1145,218100.0
1146,218395.0
1147,218252.5
1148,218285.0
1149,218467.5
1150,218625.0
1151,218720.0
1152,218852.5
1153,218810.0
1154,218980.0
1155,219537.5
1156,219820.0
1157,219940.0
1158,220260.0
1159,220105.0
1160,220162.5
1161,220220.0
1162,220327.5
1163,220485.0
1164,220642.5
1165,220475.0
1166,220620.0
1167,220827.5
1168,220897.5
1169,220817.5
1170,220812.5
1171,220845.0
1172,220977.5
1173,221097.5
1174,221267.5
1175,221225.0
1176,221257.5
1177,221465.0
1178,221697.5
1179,222280.0
1180,222537.5
1181,222545.0
1182,222640.0
1183,223172.5
1184,223880.0
1185,224225.0
1186,224170.0
1187,224302.5
1188,224897.5
1189,224905.0
1190,225275.0
1191,225432.5
1192,226127.5
1193,226372.5
1194,226605.0
1195,226625.0
1196,226670.0
1197,226890.0
1198,227172.5
1199,227842.5
1200,228837.5
1201,229145.0
1202,229502.5
1203,229160.0
1204,229255.0
1205,229300.0
1206,229357.5
1207,229415.0
1208,229485.0
1209,229705.0
1210,229837.5
1211,229770.0
1212,229990.0
1213,229997.5
1214,229992.5
1215,230062.5
1216,230045.0
1217,230177.5
1218,230385.0
1219,231217.5
1220,231487.5
1221,231695.0
1222,231777.5
1223,231985.0
1224,232292.5
1225,232275.0
1226,232495.0
1227,232777.5
1228,232735.0
1229,233117.5
1230,233187.5
1231,233107.5
1232,233702.5
1233,233785.0
1234,234292.5
1235,234412.5
1236,234820.0
1237,235077.5
1238,235335.0
1239,235380.0
1240,235712.5
1241,235795.0
1242,235727.5
1243,236147.5
1244,236380.0
1245,236762.5
1246,236807.5
1247,236890.0
1248,237085.0
1249,237167.5
1250,237262.5
1251,237470.0
1252,237390.0
1253,237597.5
1254,237730.0
1255,237650.0
1256,237807.5
1257,237915.0
1258,238035.0
1259,238342.5
1260,238287.5
1261,238732.5
1262,239202.5
1263,239110.0
1264,239180.0
1265,239262.5
1266,239432.5
1267,239490.0
1268,239535.0
1269,239630.0
1270,239787.5
1271,239945.0
1272,240127.5
1273,240072.5
1274,239942.5
1275,240175.0
1276,240020.0
1277,240127.5
1278,240185.0
1279,240255.0
1280,240475.0
1281,240620.0
1282,240727.5
1283,240685.0
1284,240605.0
1285,240875.0
1286,241082.5
1287,241002.5
1288,241322.5
1289,241417.5
1290,241337.5
1291,241482.5
1292,241677.5
1293,241872.5
1294,242005.0
1295,242000.0
1296,242082.5
1297,242227.5
1298,242460.0
1299,242542.5
1300,242775.0
1301,242807.5
1302,242952.5
1303,242972.5
1304,243142.5
1305,243262.5
1306,243145.0
1307,243102.5
1308,243022.5
1309,243080.0
1310,243237.5
1311,243445.0
1312,243540.0
1313,243560.0
1314,243642.5
1315,243675.0
1316,243632.5
1317,243640.0
1318,243672.5
1319,243880.0
1320,244237.5
1321,244295.0
1322,244452.5
1323,244497.5
1324,244567.5
1325,244575.0
1326,244770.0
1327,244852.5
1328,244960.0
1329,245167.5
1330,245387.5
1331,245520.0
1332,245490.0
1333,245622.5
1334,245755.0
1335,245675.0
1336,245695.0
1337,245802.5
1338,245947.5
1339,246055.0
1340,246050.0
1341,246532.5
1342,246727.5
1343,246897.5
1344,246942.5
1345,247025.0
1346,247457.5
1347,247552.5
1348,247860.0
1349,247767.5
1350,248112.5
1351,248182.5
1352,248290.0
1353,248397.5
1354,248717.5
1355,249375.0
1356,249470.0
1357,249577.5
1358,249910.0
1359,249955.0
1360,250087.5
1361,250157.5
1362,250302.5
1363,250535.0
1364,250592.5
1365,251275.0
1366,251670.0
1367,251727.5
1368,251722.5
1369,251767.5
1370,252037.5
1371,252207.5
1372,252715.0
1373,252697.5
1374,252867.5
1375,253000.0
1376,252970.0
1377,253040.0
1378,253172.5
1379,253267.5
1380,253525.0
1381,253482.5
1382,253390.0
1383,253397.5
1384,253955.0
1385,254225.0
1386,254482.5
1387,254977.5
1388,254622.5
1389,254830.0
1390,255225.0
1391,255020.0
1392,255002.5
1393,255572.5
1394,255767.5
1395,256187.5
1396,256745.0
1397,256327.5
1398,256747.5
1399,256592.5
1400,256725.0
1401,256820.0
1402,256840.0
1403,257185.0
1404,257292.5
1405,257387.5
1406,257645.0
1407,257715.0
1408,258022.5
1409,258117.5
1410,258162.5
1411,258645.0
1412,258565.0
1413,259247.5
1414,260142.5
1415,260525.0
1416,260220.0
1417,260577.5
1418,260485.0
1419,260617.5
1420,260737.5
1421,260407.5
1422,260202.5
1423,260422.5
1424,261192.5
1425,261475.0
1426,262132.5
1427,261902.5
1428,261960.0
1429,261905.0
1430,261600.0
1431,262095.0
1432,262452.5
1433,262585.0
1434,263017.5
1435,263125.0
1436,263257.5
1437,263777.5
1438,263822.5
1439,263967.5
1440,264575.0
1441,264707.5
1442,265377.5
1443,265547.5
1444,266042.5
1445,266225.0
1446,266370.0
1447,266990.0
1448,267685.0
1449,267580.0
1450,268037.5
1451,268657.5
1452,268927.5
1453,269285.0
1454,269567.5
1455,269612.5
1456,270195.0
1457,270327.5
1458,271247.5
1459,271267.5
1460,271725.0
1461,271757.5
1462,272265.0
1463,272522.5
1464,272455.0
1465,272937.5
1466,273357.5
1467,273840.0
1468,274347.5
1469,275205.0
1470,275350.0
1471,275557.5
1472,275840.0
1473,276547.5
1474,276330.0
1475,276162.5
1476,276620.0
1477,276527.5
1478,277010.0
1479,277355.0
1480,277612.5
1481,278470.0
1482,278990.0
1483,279222.5
1484,279305.0
1485,280012.5
1486,280232.5
1487,280815.0
1488,281210.0
1489,281705.0
1490,281837.5
1491,282132.5
1492,282240.0
1493,281997.5
1494,282155.0
1495,282225.0
1496,282270.0
1497,282590.0
1498,282947.5
1499,282830.0
1500,282900.0
1501,283170.0
1502,283790.0
1503,284172.5
1504,284680.0
1505,284725.0
1506,284845.0
1507,285790.0
1508,286185.0
1509,286842.5
1510,286875.0
1511,287007.5
1512,286627.5
1513,286847.5
1514,287055.0
1515,287400.0
1516,287745.0
1517,287852.5
1518,288072.5
1519,288080.0
1520,288375.0
1521,288707.5
1522,289440.0
1523,289322.5
1524,289817.5
1525,290025.0
1526,290545.0
1527,290652.5
1528,290772.5
1529,290917.5
1530,291012.5
1531,291170.0
1532,291465.0
1533,291422.5
1534,291430.0
1535,291687.5
1536,292045.0
1537,292090.0
1538,292660.0
1539,292842.5
1540,292900.0
1541,293295.0
1542,293340.0
1543,293847.5
1544,294030.0
1545,294275.0
1546,294345.0
1547,294390.0
1548,294922.5
1549,294580.0
1550,294587.5
1551,294645.0
1552,294940.0
1553,295222.5
1554,295567.5
1555,295512.5
1556,295995.0
1557,296140.0
1558,296197.5
1559,296267.5
1560,296287.5
1561,296282.5
1562,296240.0
1563,296410.0
1564,296480.0
1565,296625.0
1566,296870.0
1567,296915.0
1568,297585.0
1569,297480.0
1570,297562.5
1571,297970.0
1572,298015.0
1573,298310.0
1574,298417.5
1575,298512.5
1576,298507.5
1577,298552.5
1578,298747.5
1579,298867.5
1580,299300.0
1581,299370.0
1582,299990.0
1583,300110.0
1584,300292.5
1585,300462.5
1586,301182.5
1587,301015.0
1588,301360.0
1589,301505.0
1590,301837.5
1591,301957.5
1592,302527.5
1593,302772.5
1594,303292.5
1595,303400.0
1596,303620.0
1597,303765.0
1598,304447.5
1599,305617.5
1600,306200.0
1601,306657.5
1602,306940.0
1603,307122.5
1604,307292.5
1605,307537.5
1606,307645.0
1607,307702.5
1608,308297.5
1609,309155.0
1610,309425.0
1611,309957.5
1612,310415.0
1613,310672.5
1614,310692.5
1615,310900.0
1616,311082.5
1617,311240.0
1618,311310.0
1619,311455.0
1620,311475.0
1621,311545.0
1622,311665.0
1623,311710.0
1624,312017.5
1625,312175.0
1626,312182.5
1627,312227.5
1628,312335.0
1629,312430.0
1630,312475.0
1631,312570.0
1632,312652.5
1633,312722.5
1634,312892.5
1635,312925.0
1636,313082.5
1637,313227.5
1638,313210.0
1639,313155.0
1640,313137.5
1641,313307.5
1642,313427.5
1643,313472.5
1644,313792.5
1645,313925.0
1646,314120.0
1647,314452.5
1648,314597.5
1649,314667.5
1650,314625.0
1651,314770.0
1652,314765.0
1653,314910.0
1654,315167.5
1655,315450.0
1656,315607.5
1657,315890.0
1658,315922.5
1659,316117.5
1660,316225.0
1661,316095.0
1662,316302.5
1663,316410.0
1664,316742.5
1665,316975.0
1666,317470.0
1667,317465.0
1668,317622.5
1669,317817.5
1670,317975.0
1671,317957.5
1672,318090.0
1673,318160.0
1674,318167.5
1675,318275.0
1676,318357.5
1677,318352.5
1678,318597.5
1679,318630.0
1680,318775.0
1681,318870.0
1682,319065.0
1683,319072.5
1684,319092.5
1685,319075.0
1686,319107.5
1687,319040.0
1688,319210.0
1689,319355.0
1690,319825.0
1691,320107.5
1692,320102.5
1693,320447.5
1694,320430.0
1695,320487.5
1696,320457.5
1697,320615.0
1698,320947.5
1699,321392.5
1700,321487.5
1701,321682.5
1702,322015.0
1703,321960.0
1704,321955.0
1705,322000.0
1706,322007.5
1707,322190.0
1708,322097.5
1709,322142.5
1710,322250.0
1711,322407.5
1712,322690.0
1713,322935.0
1714,322855.0
1715,322937.5
1716,322932.5
1717,323040.0
1718,323072.5
1719,323142.5
1720,323450.0
1721,323357.5
1722,323452.5
1723,323547.5
1724,323605.0
1725,323550.0
1726,323670.0
1727,323790.0
1728,323810.0
1729,323955.0
1730,323887.5
1731,324007.5
1732,324140.0
1733,324285.0
1734,324430.0
1735,324425.0
1736,324532.5
1737,324665.0
1738,324747.5
1739,324917.5
1740,325137.5
1741,325282.5
1742,325402.5
1743,325535.0
1744,325580.0
1745,325637.5
1746,325745.0
1747,325727.5
1748,325785.0
1749,325867.5
1750,325925.0
1751,325982.5
1752,325940.0
1753,325935.0
